,ID,AWARDS
840,1148523,[]
841,17728,[]
842,1150968,[]
843,1153479,[]
844,1099499,[]
845,17727,[]
846,17233,[]
847,535029,[]
848,17726,[]
849,1153326,[]
850,17725,[]
851,331166,[]
852,253064,[]
853,310495,[]
854,310494,[]
855,17171,['NBC Denis Compton Award 2002']
856,466038,[]
857,17724,[]
858,590305,[]
859,17167,[]
860,17984,[]
861,17723,[]
862,17722,[]
863,17801,[]
864,17158,[]
865,575380,[]
866,17119,['Wisden Cricketer of the Year 1993']
867,17721,[]
868,650917,[]
869,1032155,[]
870,1116722,[]
871,53823,[]
872,1172968,[]
873,17720,[]
874,17985,[]
875,356179,[]
876,324988,[]
877,17719,[]
878,17164,[]
879,360524,[]
880,464114,[]
881,17718,[]
882,17923,[]
883,364444,[]
884,1098188,[]
885,17717,[]
886,17117,[]
887,17941,[]
888,17716,[]
889,295568,[]
890,17116,[]
891,17922,[]
892,17227,[]
893,17921,[]
894,1141897,[]
895,17715,[]
896,17714,[]
897,575369,[]
898,17713,[]
899,17115,[]
900,17114,[]
901,17712,[]
902,17711,[]
903,294118,[]
904,641375,[]
905,17710,[]
906,17113,[]
907,364589,[]
908,254876,[]
909,460074,[]
910,17709,[]
911,17708,[]
912,17707,[]
913,17495,[]
914,645747,[]
915,17169,[]
916,17920,[]
917,17919,[]
918,17706,[]
919,17705,[]
920,17704,[]
921,338666,[]
922,17112,[]
923,17111,[]
924,17918,[]
925,17703,[]
926,17702,[]
927,17917,[]
928,17701,[]
929,654795,[]
930,17980,[]
931,17700,[]
932,562457,[]
933,17094,[]
934,17699,[]
935,874287,[]
936,512906,[]
937,17110,[]
938,17108,[]
939,17107,[]
940,17698,[]
941,17106,[]
942,17556,[]
943,38941,[]
944,38940,[]
945,17105,[]
946,212496,[]
947,211850,[]
948,17697,[]
949,17195,[]
950,17696,[]
951,17695,[]
952,17103,[]
953,17916,[]
954,17694,[]
955,17180,[]
956,17693,[]
957,17184,[]
958,17692,[]
959,17102,[]
960,17952,[]
961,331233,[]
962,296026,[]
963,1148874,[]
964,17100,[]
965,17097,[]
966,17691,[]
967,17099,[]
968,17232,[]
969,17982,[]
970,580662,[]
971,1021667,[]
972,17690,[]
973,214607,[]
974,17689,[]
975,364843,[]
976,522898,[]
977,17688,[]
978,763267,[]
979,1099099,[]
980,516040,[]
981,17096,['NBC Denis Compton Award 1998']
982,17687,[]
983,17238,[]
984,17686,[]
985,511751,[]
986,298562,[]
987,17685,[]
988,17915,[]
989,17231,[]
990,17797,[]
991,17093,[]
992,470970,[]
993,17792,[]
994,17684,[]
995,566019,[]
996,874221,[]
997,1095848,[]
998,17914,[]
999,1147569,[]
1000,17683,[]
1001,17682,[]
1002,17681,[]
1003,17680,[]
1004,17913,[]
1005,17092,[]
1006,17090,[]
1007,17089,[]
1008,17678,[]
1009,17177,[]
1010,17679,[]
1011,17088,[]
1012,737913,[]
1013,17677,[]
1014,298700,[]
1015,17211,[]
1016,733565,[]
1017,573904,[]
1018,296767,[]
1019,17676,[]
1020,17210,[]
1021,17675,[]
1022,17791,[]
1023,17940,[]
1024,17087,[]
1025,17150,[]
1026,1106823,[]
1027,514399,[]
1028,1100314,[]
1029,17086,[]
1030,17085,[]
1031,886129,[]
1032,17912,[]
1033,53822,[]
1034,17790,[]
1035,24598,"['NBC Denis Compton Award 2003, 2004']"
1036,17084,[]
1037,17674,[]
1038,211851,[]
1039,348248,[]
1040,17672,[]
1041,17671,[]
1042,581631,[]
1043,17083,[]
1044,53904,[]
1045,1104693,[]
1046,17082,[]
1047,879223,[]
1048,17670,[]
1049,578754,[]
1050,216011,"['ECB chairman 2002-07', 'ICC president 2008-10', 'Awarded the OBE in June 2008']"
1051,17911,[]
1052,535843,[]
1053,17669,[]
1054,507079,[]
1055,17668,[]
1056,914905,[]
1057,17974,[]
1058,17081,[]
1059,17667,[]
1060,17909,[]
1061,17080,[]
1062,17666,[]
1063,17665,[]
1064,17664,[]
1065,17663,[]
1066,17662,[]
1067,537046,[]
1068,17079,[]
1069,53818,[]
1070,17055,[]
1071,17661,[]
1072,17660,[]
1073,17659,[]
1074,17658,[]
1075,788101,[]
1076,1147335,[]
1077,1149887,[]
1078,788105,[]
1079,214254,[]
1080,17073,[]
1081,291575,[]
1082,17208,[]
1083,17657,[]
1084,17789,[]
1085,514400,[]
1086,747317,[]
1087,17142,[]
1088,399416,[]
1089,746847,[]
